"remoteness","state","year","measure","value_type","value","na_value"
"Outer Regional","New South Wales",2023,"Estimated Resident Population","persons",381972,NA
"Outer Regional","New South Wales",2023,"Deaths","no.",3885,NA
"Outer Regional","New South Wales",2023,"Infant mortality rate","rate",3.1,NA
"Outer Regional","New South Wales",2023,"Standardised death rate","rate",6.1,NA
"Outer Regional","New South Wales",2023,"Median age at death","years",80.6,NA
"Outer Regional","New South Wales",2024,"Estimated Resident Population","persons",383910,NA
"Outer Regional","New South Wales",2024,"Deaths","no.",3865,NA
"Outer Regional","New South Wales",2024,"Infant mortality rate","rate",2.7,NA
"Outer Regional","New South Wales",2024,"Standardised death rate","rate",6,NA
"Outer Regional","New South Wales",2024,"Median age at death","years",80.8,NA
"Remote","New South Wales",2011,"Estimated Resident Population","persons",30280,NA
"Remote","New South Wales",2011,"Deaths","no.",230,NA
"Remote","New South Wales",2011,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2011,"Standardised death rate","rate",NA,"np"
"Remote","New South Wales",2011,"Median age at death","years",NA,"np"
"Remote","New South Wales",2012,"Estimated Resident Population","persons",29974,NA
"Remote","New South Wales",2012,"Deaths","no.",243,NA
"Remote","New South Wales",2012,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2012,"Standardised death rate","rate",NA,"np"
"Remote","New South Wales",2012,"Median age at death","years",NA,"np"
"Remote","New South Wales",2013,"Estimated Resident Population","persons",29788,NA
"Remote","New South Wales",2013,"Deaths","no.",244,NA
"Remote","New South Wales",2013,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2013,"Standardised death rate","rate",6.9,NA
"Remote","New South Wales",2013,"Median age at death","years",76.7,NA
"Remote","New South Wales",2014,"Estimated Resident Population","persons",29496,NA
"Remote","New South Wales",2014,"Deaths","no.",273,NA
"Remote","New South Wales",2014,"Infant mortality rate","rate",5.7,NA
"Remote","New South Wales",2014,"Standardised death rate","rate",7.2,NA
"Remote","New South Wales",2014,"Median age at death","years",77.1,NA
"Remote","New South Wales",2015,"Estimated Resident Population","persons",29038,NA
"Remote","New South Wales",2015,"Deaths","no.",229,NA
"Remote","New South Wales",2015,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2015,"Standardised death rate","rate",7.1,NA
"Remote","New South Wales",2015,"Median age at death","years",76.8,NA
"Remote","New South Wales",2016,"Estimated Resident Population","persons",28670,NA
"Remote","New South Wales",2016,"Deaths","no.",273,NA
"Remote","New South Wales",2016,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2016,"Standardised death rate","rate",7.4,NA
"Remote","New South Wales",2016,"Median age at death","years",77.3,NA
"Remote","New South Wales",2017,"Estimated Resident Population","persons",28378,NA
"Remote","New South Wales",2017,"Deaths","no.",246,NA
"Remote","New South Wales",2017,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2017,"Standardised death rate","rate",7,NA
"Remote","New South Wales",2017,"Median age at death","years",77.6,NA
"Remote","New South Wales",2018,"Estimated Resident Population","persons",28076,NA
"Remote","New South Wales",2018,"Deaths","no.",231,NA
"Remote","New South Wales",2018,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2018,"Standardised death rate","rate",7,NA
"Remote","New South Wales",2018,"Median age at death","years",78.1,NA
"Remote","New South Wales",2019,"Estimated Resident Population","persons",27657,NA
"Remote","New South Wales",2019,"Deaths","no.",248,NA
"Remote","New South Wales",2019,"Infant mortality rate","rate",5.3,NA
"Remote","New South Wales",2019,"Standardised death rate","rate",6.7,NA
"Remote","New South Wales",2019,"Median age at death","years",78.2,NA
"Remote","New South Wales",2020,"Estimated Resident Population","persons",27202,NA
"Remote","New South Wales",2020,"Deaths","no.",250,NA
"Remote","New South Wales",2020,"Infant mortality rate","rate",6.2,NA
"Remote","New South Wales",2020,"Standardised death rate","rate",6.8,NA
"Remote","New South Wales",2020,"Median age at death","years",77.8,NA
"Remote","New South Wales",2021,"Estimated Resident Population","persons",26778,NA
"Remote","New South Wales",2021,"Deaths","no.",249,NA
"Remote","New South Wales",2021,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2021,"Standardised death rate","rate",6.9,NA
"Remote","New South Wales",2021,"Median age at death","years",77.6,NA
"Remote","New South Wales",2022,"Estimated Resident Population","persons",26549,NA
"Remote","New South Wales",2022,"Deaths","no.",252,NA
"Remote","New South Wales",2022,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2022,"Standardised death rate","rate",6.9,NA
"Remote","New South Wales",2022,"Median age at death","years",77,NA
"Remote","New South Wales",2023,"Estimated Resident Population","persons",26576,NA
"Remote","New South Wales",2023,"Deaths","no.",286,NA
"Remote","New South Wales",2023,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2023,"Standardised death rate","rate",7.1,NA
"Remote","New South Wales",2023,"Median age at death","years",77.6,NA
"Remote","New South Wales",2024,"Estimated Resident Population","persons",26448,NA
"Remote","New South Wales",2024,"Deaths","no.",287,NA
"Remote","New South Wales",2024,"Infant mortality rate","rate",NA,"np"
"Remote","New South Wales",2024,"Standardised death rate","rate",7.3,NA
"Remote","New South Wales",2024,"Median age at death","years",77.8,NA
"Very Remote","New South Wales",2011,"Estimated Resident Population","persons",8445,NA
"Very Remote","New South Wales",2011,"Deaths","no.",59,NA
"Very Remote","New South Wales",2011,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2011,"Standardised death rate","rate",NA,"np"
"Very Remote","New South Wales",2011,"Median age at death","years",NA,"np"
"Very Remote","New South Wales",2012,"Estimated Resident Population","persons",8308,NA
"Very Remote","New South Wales",2012,"Deaths","no.",69,NA
"Very Remote","New South Wales",2012,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2012,"Standardised death rate","rate",NA,"np"
"Very Remote","New South Wales",2012,"Median age at death","years",NA,"np"
"Very Remote","New South Wales",2013,"Estimated Resident Population","persons",8173,NA
"Very Remote","New South Wales",2013,"Deaths","no.",68,NA
"Very Remote","New South Wales",2013,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2013,"Standardised death rate","rate",8.5,NA
"Very Remote","New South Wales",2013,"Median age at death","years",67.8,NA
"Very Remote","New South Wales",2014,"Estimated Resident Population","persons",8051,NA
"Very Remote","New South Wales",2014,"Deaths","no.",58,NA
"Very Remote","New South Wales",2014,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2014,"Standardised death rate","rate",8.3,NA
"Very Remote","New South Wales",2014,"Median age at death","years",68.8,NA
"Very Remote","New South Wales",2015,"Estimated Resident Population","persons",7935,NA
"Very Remote","New South Wales",2015,"Deaths","no.",55,NA
"Very Remote","New South Wales",2015,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2015,"Standardised death rate","rate",7.6,NA
"Very Remote","New South Wales",2015,"Median age at death","years",67.2,NA
"Very Remote","New South Wales",2016,"Estimated Resident Population","persons",7794,NA
"Very Remote","New South Wales",2016,"Deaths","no.",65,NA
"Very Remote","New South Wales",2016,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2016,"Standardised death rate","rate",7.5,NA
"Very Remote","New South Wales",2016,"Median age at death","years",69.3,NA
"Very Remote","New South Wales",2017,"Estimated Resident Population","persons",7633,NA
"Very Remote","New South Wales",2017,"Deaths","no.",62,NA
"Very Remote","New South Wales",2017,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2017,"Standardised death rate","rate",7.7,NA
"Very Remote","New South Wales",2017,"Median age at death","years",70,NA
"Very Remote","New South Wales",2018,"Estimated Resident Population","persons",7449,NA
"Very Remote","New South Wales",2018,"Deaths","no.",76,NA
"Very Remote","New South Wales",2018,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2018,"Standardised death rate","rate",8.7,NA
"Very Remote","New South Wales",2018,"Median age at death","years",71.1,NA
"Very Remote","New South Wales",2019,"Estimated Resident Population","persons",7305,NA
"Very Remote","New South Wales",2019,"Deaths","no.",59,NA
"Very Remote","New South Wales",2019,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2019,"Standardised death rate","rate",8.5,NA
"Very Remote","New South Wales",2019,"Median age at death","years",71.5,NA
"Very Remote","New South Wales",2020,"Estimated Resident Population","persons",7130,NA
"Very Remote","New South Wales",2020,"Deaths","no.",58,NA
"Very Remote","New South Wales",2020,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2020,"Standardised death rate","rate",8.5,NA
"Very Remote","New South Wales",2020,"Median age at death","years",70.8,NA
"Very Remote","New South Wales",2021,"Estimated Resident Population","persons",6982,NA
"Very Remote","New South Wales",2021,"Deaths","no.",62,NA
"Very Remote","New South Wales",2021,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2021,"Standardised death rate","rate",8.1,NA
"Very Remote","New South Wales",2021,"Median age at death","years",71.4,NA
"Very Remote","New South Wales",2022,"Estimated Resident Population","persons",6851,NA
"Very Remote","New South Wales",2022,"Deaths","no.",63,NA
"Very Remote","New South Wales",2022,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2022,"Standardised death rate","rate",8.2,NA
"Very Remote","New South Wales",2022,"Median age at death","years",70.8,NA
"Very Remote","New South Wales",2023,"Estimated Resident Population","persons",6864,NA
"Very Remote","New South Wales",2023,"Deaths","no.",73,NA
"Very Remote","New South Wales",2023,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2023,"Standardised death rate","rate",8.4,NA
"Very Remote","New South Wales",2023,"Median age at death","years",72.8,NA
"Very Remote","New South Wales",2024,"Estimated Resident Population","persons",6832,NA
"Very Remote","New South Wales",2024,"Deaths","no.",64,NA
"Very Remote","New South Wales",2024,"Infant mortality rate","rate",NA,"np"
"Very Remote","New South Wales",2024,"Standardised death rate","rate",8,NA
"Very Remote","New South Wales",2024,"Median age at death","years",73,NA
"Major Cities","Victoria",2011,"Estimated Resident Population","persons",4245304,NA
"Major Cities","Victoria",2011,"Deaths","no.",25586,NA
"Major Cities","Victoria",2011,"Infant mortality rate","rate",NA,"np"
"Major Cities","Victoria",2011,"Standardised death rate","rate",NA,"np"
"Major Cities","Victoria",2011,"Median age at death","years",NA,"np"
"Major Cities","Victoria",2012,"Estimated Resident Population","persons",4342955,NA
"Major Cities","Victoria",2012,"Deaths","no.",25097,NA
"Major Cities","Victoria",2012,"Infant mortality rate","rate",NA,"np"
"Major Cities","Victoria",2012,"Standardised death rate","rate",NA,"np"
"Major Cities","Victoria",2012,"Median age at death","years",NA,"np"
"Major Cities","Victoria",2013,"Estimated Resident Population","persons",4449062,NA
